jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
0.0000e+00,0.0000,0.0000,0.0000,0.0000,0.0000,2.5700e-09
3.8939e-11,0.0389,0.4673,0.1100,0.1101,0.0000,2.5700e-09
7.7879e-11,0.0779,0.9345,0.2200,0.2201,0.0000,2.5700e-09
1.1682e-10,0.1168,1.4018,0.3301,0.3302,0.0000,2.5700e-09
1.5576e-10,0.1558,1.8691,0.4401,0.4402,0.0000,2.5700e-09
1.9470e-10,0.1947,2.3364,0.5501,0.5503,0.0000,2.5700e-09
2.3364e-10,0.2336,2.8036,0.6601,0.6603,0.0000,2.5700e-09
2.7258e-10,0.2726,3.2709,0.7701,0.7704,0.0000,2.5700e-09
3.1152e-10,0.3115,3.7382,0.8801,0.8804,0.0000,2.5700e-09
3.5045e-10,0.3505,4.2055,0.9902,0.9905,0.0000,2.5700e-09
3.8939e-10,0.3894,4.6727,1.1002,1.1006,0.0000,2.5700e-09
4.2833e-10,0.4283,5.1400,1.2102,1.2106,0.0000,2.5700e-09
4.6727e-10,0.4673,5.6073,1.3202,1.3207,0.0000,2.5700e-09
5.0621e-10,0.5062,6.0745,1.4302,1.4307,0.0000,2.5700e-09
5.4515e-10,0.5452,6.5418,1.5402,1.5408,0.0000,2.5700e-09
5.8409e-10,0.5841,7.0091,1.6503,1.6508,0.0000,2.5700e-09
6.2303e-10,0.6230,7.4764,1.7603,1.7609,0.0000,2.5700e-09
6.6197e-10,0.6620,7.9436,1.8703,1.8709,0.0000,2.5700e-09
7.0091e-10,0.7009,8.4109,1.9803,1.9810,0.0000,2.5700e-09
7.3985e-10,0.7398,8.8782,2.0903,2.0911,0.0000,2.5700e-09
7.7879e-10,0.7788,9.3455,2.2003,2.2011,0.0000,2.5700e-09
8.1773e-10,0.8177,9.8127,2.3104,2.3112,0.0000,2.5700e-09
8.5667e-10,0.8567,10.2800,2.4204,2.4212,0.0000,2.5700e-09
8.9561e-10,0.8956,10.7473,2.5304,2.5313,0.0000,2.5700e-09
9.3455e-10,0.9345,11.2145,2.6404,2.6413,0.0000,2.5700e-09
9.7348e-10,0.9735,11.6818,2.7504,2.7514,0.0000,2.5700e-09
1.0124e-09,1.0124,12.1491,2.8604,2.8615,0.0000,2.5700e-09
1.0514e-09,1.0514,12.6164,2.9705,2.9715,0.0000,2.5700e-09
1.0903e-09,1.0903,13.0836,3.0805,3.0816,0.0000,2.5700e-09
1.1292e-09,1.1292,13.5509,3.1905,3.1916,0.0000,2.5700e-09
1.1682e-09,1.1682,14.0182,3.3005,3.3017,0.0000,2.5700e-09
1.2071e-09,1.2071,14.4855,3.4105,3.4117,0.0000,2.5700e-09
1.2461e-09,1.2461,14.9527,3.5205,3.5218,0.0000,2.5700e-09
1.2850e-09,1.2850,15.4200,3.6306,3.6318,0.0000,2.5700e-09
1.3239e-09,1.3239,15.8873,3.7406,3.7419,0.0000,2.5700e-09
1.3629e-09,1.3629,16.3545,3.8506,3.8520,0.0000,2.5700e-09
