step,load_factor,P_kN,uy_load_um,def_Ls_um
1,0.010000,0.6201,0.5000,0.1441
2,0.020000,1.2403,1.0000,0.2882
3,0.030000,1.8604,1.5000,0.4324
4,0.040000,2.4806,2.0000,0.5765
5,0.050000,3.1007,2.5000,0.7206
6,0.060000,3.7209,3.0000,0.8647
7,0.070000,4.3410,3.5000,1.0089
8,0.080000,4.9612,4.0000,1.1530
9,0.090000,5.5813,4.5000,1.2971
10,0.100000,6.2015,5.0000,1.4412
11,0.110000,6.8216,5.5000,1.5854
12,0.120000,7.4418,6.0000,1.7295
13,0.130000,8.0619,6.5000,1.8736
14,0.140000,8.6820,7.0000,2.0177
15,0.150000,9.3022,7.5000,2.1618
16,0.160000,9.9223,8.0000,2.3060
17,0.170000,10.5425,8.5000,2.4501
18,0.180000,11.1626,9.0000,2.5942
19,0.190000,11.7828,9.5000,2.7383
20,0.200000,12.4029,10.0000,2.8825
21,0.210000,13.0231,10.5000,3.0266
22,0.220000,13.6432,11.0000,3.1707
23,0.230000,14.2634,11.5000,3.3148
24,0.240000,14.8835,12.0000,3.4590
25,0.250000,15.5037,12.5000,3.6031
26,0.260000,16.1238,13.0000,3.7472
27,0.270000,16.7440,13.5000,3.8913
28,0.280000,17.3641,14.0000,4.0354
29,0.290000,17.9842,14.5000,4.1796
30,0.300000,18.6044,15.0000,4.3237
31,0.310000,19.2245,15.5000,4.4678
32,0.320000,19.8447,16.0000,4.6119
33,0.330000,20.4648,16.5000,4.7561
34,0.340000,21.0850,17.0000,4.9002
35,0.350000,21.7051,17.5000,5.0443
36,0.360000,22.3253,18.0000,5.1884
37,0.370000,22.9454,18.5000,5.3326
38,0.380000,23.5647,19.0000,5.4769
39,0.390000,24.1815,19.5000,5.6220
40,0.400000,24.7983,20.0000,5.7670
41,0.410000,25.4131,20.5000,5.9127
42,0.420000,26.0241,21.0000,6.0596
43,0.430000,26.6202,21.5000,6.2109
44,0.440000,27.2046,22.0000,6.3663
45,0.450000,27.7858,22.5000,6.5229
46,0.460000,28.3426,23.0000,6.6885
47,0.470000,28.8842,23.5000,6.8603
48,0.480000,29.4879,24.0000,7.0096
49,0.490000,29.8895,24.5000,7.2382
50,0.500000,30.3147,25.0000,7.4664
51,0.510000,30.5812,25.5000,7.7883
52,0.520000,30.3840,26.0000,8.4039
55,0.522500,30.5225,26.1250,8.4473
56,0.526250,30.2516,26.3125,8.7933
58,0.528125,30.3286,26.4063,8.8458
