step,load_factor,P_kN,deformation_um
1,0.008340,0.2919,0.0678
2,0.019187,0.6716,0.1561
3,0.033286,1.1650,0.2708
4,0.051576,1.8052,0.4195
5,0.075360,2.6376,0.6130
6,0.106396,3.7239,0.8654
7,0.139678,4.8887,1.1361
8,0.173104,6.0586,1.4080
9,0.206288,7.2201,1.6780
10,0.239617,8.3866,1.9491
11,0.272699,9.5445,2.2181
12,0.306139,10.7149,2.4902
13,0.339127,11.8695,2.7585
14,0.372341,13.0319,3.0286
15,0.406170,14.2159,3.3038
16,0.439320,15.3762,3.5735
17,0.473003,16.5551,3.8474
18,0.506755,17.7364,4.1220
19,0.540111,18.9039,4.3933
20,0.573482,20.0719,4.6647
21,0.606811,21.2384,4.9358
22,0.639349,22.3772,5.2005
23,0.673007,23.5552,5.4747
24,0.691464,24.2012,5.6267
25,0.724955,25.3734,5.9031
26,0.744373,26.0531,6.0713
27,0.775718,27.1501,6.3541
28,0.809204,28.3221,6.6902
29,0.827060,28.9471,6.8980
30,0.849912,29.7469,7.2186
31,0.867926,30.3774,7.6994
32,0.854290,29.9002,8.3399
33,0.834039,29.1914,9.2752
34,0.824449,28.8557,9.8062
