step,load_factor,P_kN,deformation_um
1,0.008340,0.2919,0.0678
2,0.019187,0.6716,0.1561
3,0.033286,1.1650,0.2708
4,0.051576,1.8052,0.4195
5,0.075360,2.6376,0.6130
6,0.106396,3.7239,0.8654
7,0.139678,4.8887,1.1361
8,0.173104,6.0586,1.4080
9,0.206288,7.2201,1.6780
10,0.239617,8.3866,1.9491
11,0.272699,9.5445,2.2181
12,0.306139,10.7149,2.4902
13,0.339127,11.8695,2.7585
14,0.372341,13.0319,3.0286
15,0.406170,14.2159,3.3038
16,0.439320,15.3762,3.5735
17,0.473003,16.5551,3.8474
18,0.506755,17.7364,4.1220
19,0.540111,18.9039,4.3933
20,0.573482,20.0719,4.6647
21,0.606811,21.2384,4.9358
22,0.639349,22.3772,5.2005
23,0.672291,23.5302,5.4688
24,0.706102,24.7136,5.7471
25,0.738398,25.8439,6.0191
26,0.769052,26.9168,6.2894
27,0.800396,28.0138,6.5907
28,0.824363,28.8527,6.8496
29,0.847530,29.6636,7.1452
30,0.871621,30.5067,7.5814
31,0.868067,30.3824,8.4087
32,0.859491,30.0822,9.2696
33,0.855275,29.9346,9.7041
34,0.851924,29.8174,10.0202
35,0.850363,29.7627,10.2127
36,0.848803,29.7081,10.3091
37,0.850029,29.7510,10.3379
38,0.847869,29.6754,10.4135
